"personalid","projecttype_1_bednights","projecttype_1_count","projecttype_2_count","projecttype_3_count","projecttype_4_count","projecttype_6_count","projecttype_7_count","projecttype_8_count","projecttype_10_count","projecttype_12_count","projecttype_13_count","projecttype_14_count"
342,91,4,,,,,2,,,,,2
401,2,2,,1,,1,1,,,,,1
402,,,,,,,,,,,,1
424,5,5,,,,1,,,,,,
438,220,199,,,1,2,,,,,,
447,10,1,,,,,1,,,,,1
491,451,229,,,,1,1,,,,1,2
502,285,269,,1,2,3,,,,,,
505,143,2,,,,,,,,,1,1
538,1,1,,,,,,,,,,
544,188,1,,,,1,2,,,,,3
564,1,1,,,,,,,,,,
569,80,1,,,,,,,,,,1
570,8,4,,,,,,,,,,1
599,,,,,,,1,,,,,
603,,,,1,,,,,,,,1
610,1,1,,,,,,,,,,
613,3,3,,,,,,,,,,
630,41,7,,,2,1,1,,,,,1
666,,,,,1,,,,,,,1
685,7,7,,,,,,,,,,
699,,,,,,,,,,,1,1
724,22,22,,1,,,1,,,,,1
740,1,1,,,,,,,,,,1
755,,,,,1,,,,,,,
802,2,1,,,,,,,,,,
870,7,7,,,,,,,,,2,3
879,251,52,,,,1,,,,,,2
884,24,2,,1,2,1,,,,,,2
893,1,1,,,,,,,,,,
897,1,1,,,,,,,,,,
942,,,,,1,,,,,,,
948,65,1,,,,,,,,,,
992,1,1,,,,,,,,,,
1001,1,1,,,,,,,,,,
1014,7,7,,,,,1,,,,,
1018,,,,,,,1,,,,,
1020,7,7,,1,,,1,,,,,1
1060,1,1,,,,,,,,,,1
1119,10,10,,,1,,,,,,,
1209,,,,,,,,,,,,1
1247,,,,1,1,,,,,,,
1265,1,1,,1,,1,,,,,,
1278,,,,1,,,,,,,,
1332,,,,1,,,,,,,,
1337,,,,,,,1,,,,,
1357,,,,,1,1,,,,1,,
1381,3,3,,,1,,,,,,,
1400,,,,,,,,,,,,1
1401,4,4,,,,,,,,,,1
1413,,,1,,,,,,,,,
1563,,,,,,,,,,,,1
1730,21,1,,,,1,1,,,,,1
1732,22,1,,,,1,1,,,,,1
1758,,,,,,,,,,,,1
1795,,,,,,,1,,,,,1
1807,58,4,,,,,,,,,,
1846,,,,,1,,1,,,,,1
1847,,,,,,,1,,,,,
1851,,,,,1,,,,,,,1
1922,,,,,1,,,,,,,2
1983,1,1,,,,,,,,,,
2043,,,,,,,,,,,,1
2099,,,,,,1,2,,,,,
2124,,,,,1,,,,,,,
2130,,,,,,,1,,,,,
2133,,,,1,1,1,1,,,,,
2144,1,1,,,,,,,,,,
2146,,,,,,,,,,,,1
2151,,,,,,,1,,,,,
2156,,,1,,1,,,,,,,1
2179,2,1,,,,,,,,,,1
2182,89,64,,,1,,1,,,,,
2202,,,,,2,,,,,,,1
2227,107,2,,,1,,,,,,,2
2234,26,15,,,,,2,,,,1,1
2333,,,,,,,1,,,,,1
2346,12,11,,1,,1,1,,,,,
2352,2,2,,,,,,,,,,1
2431,,,,,,,1,,,,,
2458,,,,,,,,,,,,1
2501,,,,,,,,,,,,1
2520,,,,,,,,,,,,1
2617,,,,,3,,,,,,,2
2619,23,3,,,,,4,,,,,
2654,,,,,,,,,,,1,
2678,,,,,,,1,,,,,
2681,106,2,,,,,1,,,,,2
2682,,,,,1,,,,,,,
2693,81,2,,,,,,,,,,1
2705,9,8,1,,1,,1,,,,1,3
2715,,,,,,,,,,,1,1
2717,,,,,,,1,,,,,
2755,,,,,1,,,,,,,
2772,45,9,,,,1,,,,,,1
2793,,,,,,,1,,,,,1
2815,1,1,,,1,,,,,,,1
2836,,,,,,,1,,,,,
2842,,,,,,,1,,,,,
2850,,,,,3,,,,,,,
2854,24,4,,,,,,,,,,1
2880,,,,,,,,,,,,1
2910,,,1,,,,,,,,,
2922,20,20,,1,2,,,,,,2,2
2934,,,,,,,2,,,,,
3040,144,2,,,1,,,,,,,1
3048,,,,,,,1,,,,,1
3057,4,4,,,,,,,,,,
3060,29,28,,,,,3,,,,,1
3063,18,15,,,1,,,,,,,2
3074,103,102,,,1,,,,,,,1
3086,132,61,,,,,1,,,,,1
3095,18,1,,,,,,,,,,2
3112,,,1,,1,,,,,,,1
3120,,,,,,,1,,,,,1
3122,,,,1,,,1,,,,,
3167,19,19,,,1,,,,,,2,
3193,,,,,,,1,,,,,
3195,137,137,,,,,,,,,,
3225,,,,,,,,,,,,1
3230,,,,,1,,,,,,,
3236,,,,,1,,,,,,,
3306,,,,,,,,,,,,1
3370,,,,,,,,,,,,1
3382,,,,,,,,,,,,1
3415,1,1,,,1,,1,,,,,
3418,8,3,,,,,,,,,,1
3437,,,,,,,1,,,,,
