personalid,ESNights,ES,TransitionalHousing,PH,StreetOutReach,ServicesOnly,Other,SafeHaven,PH-NoDis,HomelessPrev,PHRapid,CoordinatedAsses,Usage Cluster
342,91.0,4.0,,,,,2.0,,,,,2.0,Medium Use
401,2.0,2.0,,1.0,,1.0,1.0,,,,,1.0,Very Low Use
402,,,,,,,,,,,,1.0,Very Low Use
424,5.0,5.0,,,,1.0,,,,,,,Very Low Use
438,220.0,199.0,,,1.0,2.0,,,,,,,Very High Use
447,10.0,1.0,,,,,1.0,,,,,1.0,Very Low Use
491,451.0,229.0,,,,1.0,1.0,,,,1.0,2.0,Very High Use
502,285.0,269.0,,1.0,2.0,3.0,,,,,,,Very High Use
505,143.0,2.0,,,,,,,,,1.0,1.0,Medium Use
538,1.0,1.0,,,,,,,,,,,Very Low Use
544,188.0,1.0,,,,1.0,2.0,,,,,3.0,High Use
564,1.0,1.0,,,,,,,,,,,Very Low Use
569,80.0,1.0,,,,,,,,,,1.0,Low Use
570,8.0,4.0,,,,,,,,,,1.0,Very Low Use
599,,,,,,,1.0,,,,,,Very Low Use
603,,,,1.0,,,,,,,,1.0,Very Low Use
610,1.0,1.0,,,,,,,,,,,Very Low Use
613,3.0,3.0,,,,,,,,,,,Very Low Use
630,41.0,7.0,,,2.0,1.0,1.0,,,,,1.0,Low Use
666,,,,,1.0,,,,,,,1.0,Very Low Use
685,7.0,7.0,,,,,,,,,,,Very Low Use
699,,,,,,,,,,,1.0,1.0,Very Low Use
724,22.0,22.0,,1.0,,,1.0,,,,,1.0,Low Use
740,1.0,1.0,,,,,,,,,,1.0,Very Low Use
755,,,,,1.0,,,,,,,,Very Low Use
802,2.0,1.0,,,,,,,,,,,Very Low Use
870,7.0,7.0,,,,,,,,,2.0,3.0,Very Low Use
879,251.0,52.0,,,,1.0,,,,,,2.0,High Use
884,24.0,2.0,,1.0,2.0,1.0,,,,,,2.0,Low Use
893,1.0,1.0,,,,,,,,,,,Very Low Use
897,1.0,1.0,,,,,,,,,,,Very Low Use
942,,,,,1.0,,,,,,,,Very Low Use
948,65.0,1.0,,,,,,,,,,,Low Use
992,1.0,1.0,,,,,,,,,,,Very Low Use
1001,1.0,1.0,,,,,,,,,,,Very Low Use
1014,7.0,7.0,,,,,1.0,,,,,,Very Low Use
1018,,,,,,,1.0,,,,,,Very Low Use
1020,7.0,7.0,,1.0,,,1.0,,,,,1.0,Very Low Use
1060,1.0,1.0,,,,,,,,,,1.0,Very Low Use
1119,10.0,10.0,,,1.0,,,,,,,,Very Low Use
1209,,,,,,,,,,,,1.0,Very Low Use
1247,,,,1.0,1.0,,,,,,,,Very Low Use
1265,1.0,1.0,,1.0,,1.0,,,,,,,Very Low Use
1278,,,,1.0,,,,,,,,,Very Low Use
1332,,,,1.0,,,,,,,,,Very Low Use
1337,,,,,,,1.0,,,,,,Very Low Use
1357,,,,,1.0,1.0,,,,1.0,,,Very Low Use
1381,3.0,3.0,,,1.0,,,,,,,,Very Low Use
1400,,,,,,,,,,,,1.0,Very Low Use
1401,4.0,4.0,,,,,,,,,,1.0,Very Low Use
1413,,,1.0,,,,,,,,,,Very Low Use
1563,,,,,,,,,,,,1.0,Very Low Use
1730,21.0,1.0,,,,1.0,1.0,,,,,1.0,Very Low Use
1732,22.0,1.0,,,,1.0,1.0,,,,,1.0,Very Low Use
1758,,,,,,,,,,,,1.0,Very Low Use
1795,,,,,,,1.0,,,,,1.0,Very Low Use
1807,58.0,4.0,,,,,,,,,,,Low Use
1846,,,,,1.0,,1.0,,,,,1.0,Very Low Use
1847,,,,,,,1.0,,,,,,Very Low Use
1851,,,,,1.0,,,,,,,1.0,Very Low Use
1922,,,,,1.0,,,,,,,2.0,Very Low Use
1983,1.0,1.0,,,,,,,,,,,Very Low Use
2043,,,,,,,,,,,,1.0,Very Low Use
2099,,,,,,1.0,2.0,,,,,,Very Low Use
2124,,,,,1.0,,,,,,,,Very Low Use
2130,,,,,,,1.0,,,,,,Very Low Use
2133,,,,1.0,1.0,1.0,1.0,,,,,,Very Low Use
2144,1.0,1.0,,,,,,,,,,,Very Low Use
2146,,,,,,,,,,,,1.0,Very Low Use
2151,,,,,,,1.0,,,,,,Very Low Use
2156,,,1.0,,1.0,,,,,,,1.0,Very Low Use
2179,2.0,1.0,,,,,,,,,,1.0,Very Low Use
2182,89.0,64.0,,,1.0,,1.0,,,,,,Medium Use
2202,,,,,2.0,,,,,,,1.0,Very Low Use
2227,107.0,2.0,,,1.0,,,,,,,2.0,Medium Use
2234,26.0,15.0,,,,,2.0,,,,1.0,1.0,Low Use
2333,,,,,,,1.0,,,,,1.0,Very Low Use
2346,12.0,11.0,,1.0,,1.0,1.0,,,,,,Very Low Use
2352,2.0,2.0,,,,,,,,,,1.0,Very Low Use
2431,,,,,,,1.0,,,,,,Very Low Use
2458,,,,,,,,,,,,1.0,Very Low Use
2501,,,,,,,,,,,,1.0,Very Low Use
2520,,,,,,,,,,,,1.0,Very Low Use
2617,,,,,3.0,,,,,,,2.0,Very Low Use
2619,23.0,3.0,,,,,4.0,,,,,,Low Use
2654,,,,,,,,,,,1.0,,Very Low Use
2678,,,,,,,1.0,,,,,,Very Low Use
2681,106.0,2.0,,,,,1.0,,,,,2.0,Medium Use
2682,,,,,1.0,,,,,,,,Very Low Use
2693,81.0,2.0,,,,,,,,,,1.0,Low Use
2705,9.0,8.0,1.0,,1.0,,1.0,,,,1.0,3.0,Very Low Use
2715,,,,,,,,,,,1.0,1.0,Very Low Use
2717,,,,,,,1.0,,,,,,Very Low Use
2755,,,,,1.0,,,,,,,,Very Low Use
2772,45.0,9.0,,,,1.0,,,,,,1.0,Low Use
2793,,,,,,,1.0,,,,,1.0,Very Low Use
2815,1.0,1.0,,,1.0,,,,,,,1.0,Very Low Use
2836,,,,,,,1.0,,,,,,Very Low Use
2842,,,,,,,1.0,,,,,,Very Low Use
2850,,,,,3.0,,,,,,,,Very Low Use
2854,24.0,4.0,,,,,,,,,,1.0,Low Use
2880,,,,,,,,,,,,1.0,Very Low Use
2910,,,1.0,,,,,,,,,,Very Low Use
2922,20.0,20.0,,1.0,2.0,,,,,,2.0,2.0,Low Use
2934,,,,,,,2.0,,,,,,Very Low Use
3040,144.0,2.0,,,1.0,,,,,,,1.0,Medium Use
3048,,,,,,,1.0,,,,,1.0,Very Low Use
3057,4.0,4.0,,,,,,,,,,,Very Low Use
3060,29.0,28.0,,,,,3.0,,,,,1.0,Low Use
3063,18.0,15.0,,,1.0,,,,,,,2.0,Low Use
3074,103.0,102.0,,,1.0,,,,,,,1.0,High Use
3086,132.0,61.0,,,,,1.0,,,,,1.0,High Use
3095,18.0,1.0,,,,,,,,,,2.0,Very Low Use
3112,,,1.0,,1.0,,,,,,,1.0,Very Low Use
3120,,,,,,,1.0,,,,,1.0,Very Low Use
3122,,,,1.0,,,1.0,,,,,,Very Low Use
3167,19.0,19.0,,,1.0,,,,,,2.0,,Low Use
3193,,,,,,,1.0,,,,,,Very Low Use
3195,137.0,137.0,,,,,,,,,,,High Use
3225,,,,,,,,,,,,1.0,Very Low Use
